PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_BKR,BULAN
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,2,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,2,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,1,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,1,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,1,JANUARI
SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,1,JANUARI
SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,1,JANUARI
