PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUNYA BADUTA,PUNYA BALITA,PUS,PUS HAMIL,AIR MINUM,TEMPAT BUANG AIR,TERLALU MUDA,TERLALU TUA,TERLALU DEKAT,TERLALU BANYAK,KRS
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,47,107,432,7,1,73,1,121,5,153,607
SULAWESI BARAT,MAMASA,MAMASA,MAMBULILING,25,47,164,1,14,29,0,33,3,37,154
SULAWESI BARAT,MAMASA,MAMASA,OSANGO,64,149,577,13,20,143,1,164,3,192,497
SULAWESI BARAT,MAMASA,MAMASA,PEBASSIAN,9,33,84,7,0,3,1,21,0,11,78
SULAWESI BARAT,MAMASA,MAMASA,RAMBUSARATU,50,87,310,7,1,4,0,77,2,106,301
SULAWESI BARAT,MAMASA,MAMASA,TAUPE,42,87,313,4,28,1,6,75,3,89,113
SULAWESI BARAT,MAMASA,MAMASA,TONDOK BAKARU,46,93,353,12,5,0,3,78,3,98,331
SULAWESI BARAT,MAMASA,MAMBI,BUJUNG MANURUNG,11,10,73,4,0,4,0,5,1,21,39
SULAWESI BARAT,MAMASA,MAMBI,INDOBANUA,14,17,76,0,4,10,3,10,5,23,31
SULAWESI BARAT,MAMASA,MAMBI,MAMBI,42,47,217,3,2,0,2,50,5,84,151
SULAWESI BARAT,MAMASA,MAMBI,PAMOSEAN,10,20,82,1,33,8,6,9,1,33,32
SULAWESI BARAT,MAMASA,MAMBI,RANTEBULAHAN,23,28,100,5,35,36,2,20,5,31,48
SULAWESI BARAT,MAMASA,MAMBI,SALU ALO,23,36,145,5,47,20,2,18,1,50,76
SULAWESI BARAT,MAMASA,MAMBI,SALUBANUA,9,19,52,3,1,1,1,10,2,28,47
SULAWESI BARAT,MAMASA,MAMBI,SALUDURIAN,26,38,152,6,36,1,1,19,6,51,82
SULAWESI BARAT,MAMASA,MAMBI,SELUMAKA,13,45,170,3,5,4,0,38,4,75,155
SULAWESI BARAT,MAMASA,MAMBI,SENDANA,12,55,230,0,55,0,0,38,1,74,153
SULAWESI BARAT,MAMASA,MAMBI,SONDONGLAYU,22,31,88,0,32,1,0,15,4,36,43
